#Char	Unicode	Big5
湣	6E63	B543
湧	6E67	B4E9
湩	6E69	B546
湮	6E6E	B4F3
湯	6E6F	B4F6
湲	6E72	B545
溉	6E89	B540
源	6E90	B7BD
準	6E96	B7C7
溘	6E98	B7C2
溜	6E9C	B7C8
溝	6E9D	B7BE
溢	6EA2	B7B8
溥	6EA5	B7C1
溧	6EA7	B7CC
溪	6EAA	B7CB
溫	6EAB	B7C5
溯	6EAF	B7B9
溴	6EB4	B7CD
溶	6EB6	B7BB
溺	6EBA	B7C4
溼	6EBC	B7C3
滂	6EC2	B7BC
滄	6EC4	B7C9
滅	6EC5	B7C0
滇	6EC7	B7BF
滋	6ECB	B4FE
滌	6ECC	BAB0
滑	6ED1	B7C6
滓	6ED3	B7BA
滔	6ED4	B7CA
滕	6ED5	BCF0
滬	6EEC	BAAD
滯	6EEF	BAA2
滲	6EF2	BAAF
滴	6EF4	BA77
滷	6EF7	BAB1
滾	6EFE	BA75
滿	6EFF	BAA1
漁	6F01	BAAE
漂	6F02	BA7D
漆	6F06	BAA3
漏	6F0F	BA7C
漓	6F13	BA76
演	6F14	BA74
漕	6F15	BAA8
漠	6F20	BA7A
漢	6F22	BA7E
漣	6F23	BAA7
漩	6F29	BA78
漪	6F2A	BAAC
漫	6F2B	BAA9
漬	6F2C	BA7B
漯	6F2F	BAAA
漱	6F31	BAA4
漲	6F32	BAA6
漳	6F33	BA73
漸	6F38	BAA5
漾	6F3E	BA79
漿	6F3F	BCDF
潑	6F51	BCE2
潔	6F54	BCE4
潘	6F58	BCEF
潛	6F5B	BCE7
潟	6F5F	BCF3
潠	6F60	BCF2
潤	6F64	BCED
潦	6F66	BCE3
潭	6F6D	BCE6
潮	6F6E	BCE9
潯	6F6F	BCF1
潰	6F70	BCEC
潸	6F78	BCE8
潺	6F7A	BCEB
潼	6F7C	BCE0
澀	6F80	C0DF
澄	6F84	BCE1
澆	6F86	BCE5
澈	6F88	BAAB
澎	6F8E	BCEA
澗	6F97	BCEE
澠	6FA0	BF49
澡	6FA1	BEFE
澤	6FA4	BF41
澦	6FA6	BF48
澧	6FA7	BF43
澱	6FB1	BEFD
澳	6FB3	BF44
澴	6FB4	BF4A
澶	6FB6	BF47
澹	6FB9	BF46
激	6FC0	BF45
濁	6FC1	BF42
濂	6FC2	BEFC
濃	6FC3	BF40
濕	6FD5	C0E3
濘	6FD8	C0D7
濛	6FDB	C0DB
濟	6FDF	C0D9
濠	6FE0	C0DA
濡	6FE1	C0E1
濤	6FE4	C0DC
濩	6FE9	C0E2
濫	6FEB	C0DD
濬	6FEC	C0E0
濮	6FEE	C0E4
濯	6FEF	C0DE
濰	6FF0	C0E5
濱	6FF1	C0D8
濺	6FFA	C271
濾	6FFE	C26F
瀆	7006	C270
瀉	7009	C26D
瀋	700B	C26E
瀏	700F	C273
瀑	7011	C272
瀕	7015	C378
瀘	7018	C379
瀚	701A	C376
瀛	701B	C373
瀝	701D	C377
瀟	701F	C374
瀨	7028	C375
瀰	7030	C46A
瀲	7032	C46B
瀾	703E	C469
灌	704C	C4E9
灑	7051	C578
灘	7058	C579
灞	705E	C5F4
灣	7063	C657
灤	7064	C665
火	706B	A4F5
灰	7070	A6C7
灶	7076	A85F
灸	7078	A862
灼	707C	A860
災	707D	A861
炊	708A	AAA4
炎	708E	AAA2
炒	7092	AAA3
炕	7095	AAA1
炙	7099	AAA5
炤	70A4	ACB7
炫	70AB	ACAF
炬	70AC	ACB2
炭	70AD	ACB4
炮	70AE	ACB6
炯	70AF	ACB3
炳	70B3	ACB1
炸	70B8	ACB5
為	70BA	ACB0
烈	70C8	AF50
烊	70CA	AF4C
烏	70CF	AF51
烘	70D8	AF4D
烙	70D9	AF4F
烤	70E4	AF4E
烯	70EF	B26D
烹	70F9	B269
烽	70FD	B26C
焉	7109	B26A
焊	710A	B26B
焙	7119	B548
焚	711A	B549
焜	711C	B54F
無	7121	B54C
焦	7126	B54A
焰	7130	B54B
然	7136	B54D
煆	7146	B7DA
煉	7149	B7D2
煌	714C	B7D7
煎	714E	B7CE
煖	7156	B7DC
煙	7159	B7CF
煜	715C	B7D4
煞	715E	B7D9
煤	7164	B7D1
煥	7165	B7D8
煦	7166	B7D6
照	7167	B7D3
煨	7168	B7DB
煩	7169	B7D0
煬	716C	B7D5
煮	716E	B54E
煽	717D	BAB4
熄	7184	BAB6
熊	718A	BAB5
熒	7192	BAB7
熔	7194	BAB2
熙	7199	BAB3
熟	719F	BCF4
熨	71A8	BCF7
熬	71AC	BCF5
熱	71B1	BCF6
熹	71B9	BF51
熾	71BE	BF4B
燃	71C3	BF55
燄	71C4	BF56
燈	71C8	BF4F
燉	71C9	BF4C
燎	71CE	BF52
燐	71D0	BF4D
燒	71D2	BF4E
燕	71D5	BF50
燙	71D9	BF53
燜	71DC	BF54
營	71DF	C0E7
燠	71E0	C0EE
燥	71E5	C0EA
燦	71E6	C0E9
燧	71E7	C0E6
燬	71EC	C0EC
燭	71ED	C0EB
燮	71EE	C0E8
燴	71F4	C0ED
燸	71F8	C277
燻	71FB	C274
燼	71FC	C275
燾	71FE	C276
爆	7206	C37A
爍	720D	C37B
爐	7210	C46C
爛	721B	C4EA
爨	7228	C679
爪	722A	A4F6
爬	722C	AAA6
爭	722D	AAA7
爰	7230	ACB8
爵	7235	C0EF
父	7236	A4F7
爸	7238	AAA8
爹	7239	AF52
爺	723A	B7DD
爻	723B	A4F8
爽	723D	B26E
爾	723E	BAB8
牆	7246	C0F0
片	7247	A4F9
版	7248	AAA9
牌	724C	B550
牒	7252	B7DE
牖	7256	BCF8
牘	7258	C37C
牙	7259	A4FA
牛	725B	A4FB
牝	725D	A6C9
牟	725F	A6C8
牠	7260	A865
牡	7261	A864
牢	7262	A863
牧	7267	AAAA
物	7269	AAAB
牯	726F	ACBA
牲	7272	ACB9
牴	7274	ACBB
特	7279	AF53
牽	727D	B26F
犀	7280	B552
犁	7281	B270
犄	7284	B551
犒	7292	BAB9
犖	7296	BABA
犛	729B	BCF9
犢	72A2	C37D
犧	72A7	C4EB
犬	72AC	A4FC
犯	72AF	A5C7
狀	72C0	AAAC
狂	72C2	A867
狄	72C4	A866
狎	72CE	AAAD
狐	72D0	AAB0
狗	72D7	AAAF
狙	72D9	AAAE
狠	72E0	ACBD
狡	72E1	ACBE
狩	72E9	ACBC
狷	72F7	AF58
狸	72F8	AF57
狹	72F9	AF55
狼	72FC	AF54
狽	72FD	AF56
猓	7313	B274
猖	7316	B273
猙	7319	B275
猛	731B	B272
猜	731C	B271
猥	7325	B554
猩	7329	B556
猴	7334	B555
猶	7336	B553
猷	7337	B7DF
猾	733E	B7E2
猿	733F	B7E1
獄	7344	BABB
獅	7345	B7E0
獎	734E	BCFA
獐	7350	BABC
獗	7357	BCFB
獨	7368	BF57
獰	7370	C0F1
獲	7372	C0F2
獵	7375	C279
獷	7377	C278
獸	7378	C37E
獺	737A	C3A1
獻	737B	C46D
玀	7380	C57A
玄	7384	A5C8
玆	7386	AF59
率	7387	B276
玉	7389	A5C9
王	738B	A4FD
玖	7396	A868
玟	739F	AAB3
玥	73A5	AAB5
玨	73A8	AAB2
玩	73A9	AAB1
玫	73AB	AAB4
玲	73B2	ACC2
玳	73B3	ACC5
玷	73B7	ACBF
玻	73BB	ACC1
珀	73C0	ACC4
珊	73CA	ACC0
珍	73CD	ACC3
珞	73DE	AF5F
珠	73E0	AF5D
珪	73EA	AF5E
班	73ED	AF5A
珮	73EE	AF5C
現	73FE	B27B
球	7403	B279
琅	7405	B277
理	7406	B27A
琉	7409	AF5B
琊	740A	B278
琍	740D	B27C
琛	741B	B560
琢	7422	B55A
琥	7425	B55B
琦	7426	B561
琨	7428	B562
琪	742A	B558
琯	742F	B55F
琳	7433	B559
琴	7434	B55E
琵	7435	B55C
琶	7436	B55D
琺	743A	B557
琿	743F	B7E9
瑁	7441	B7E8
瑕	7455	B7E5
瑙	7459	B7EA
瑚	745A	B7E4
瑛	745B	B7EB
瑜	745C	B7EC
瑞	745E	B7E7
瑟	745F	B7E6
瑣	7463	BABE
瑤	7464	BABD
瑩	7469	BCFC
瑪	746A	BABF
瑭	746D	BAC1
瑯	746F	B7E3
瑰	7470	BAC0
瑾	747E	BD40
璀	7480	BD41
璃	7483	BCFE
璋	748B	BCFD
璘	7498	BF5A
璜	749C	BF58
璞	749E	BF5C
璟	749F	BF5B
璣	74A3	BF59
璦	74A6	C0F5
璧	74A7	C27A
璨	74A8	C0F6
璩	74A9	C0F3
環	74B0	C0F4
璽	74BD	C3A2
璿	74BF	C27B
瓊	74CA	C3A3
瓏	74CF	C46E
瓔	74D4	C4ED
瓖	74D6	C4EC
瓚	74DA	C5D0
瓜	74DC	A5CA
瓠	74E0	B27D
瓢	74E2	BF5D
瓣	74E3	C3A4
瓤	74E4	C57B
瓦	74E6	A5CB
瓶	74F6	B27E
瓷	74F7	B2A1
甄	7504	BAC2
甌	750C	BF5E
甍	750D	BF5F
甕	7515	C27C
甘	7518	A5CC
甚	751A	ACC6
甜	751C	B2A2
生	751F	A5CD
產	7522	B2A3
甥	7525	B563
甦	7526	B564
用	7528	A5CE
甩	7529	A5CF
甫	752B	A86A
甬	752C	A869
甭	752D	ACC7
田	7530	A5D0
由	7531	A5D1
甲	7532	A5D2
申	7533	A5D3
男	7537	A86B
甸	7538	A86C
甽	753D	AAB6
畋	754B	ACCB
界	754C	ACC9
畎	754E	ACCA
畏	754F	ACC8
畔	7554	AF60
留	7559	AF64
畚	755A	AF63
畜	755C	AF62
畝	755D	AF61
畢	7562	B2A6
略	7565	B2A4
畦	7566	B2A5
番	756A	B566
畫	756B	B565
異	7570	B2A7
當	7576	B7ED
畸	7578	B7EE
畿	757F	BD42
疆	7586	C3A6
疇	7587	C3A5
疊	758A	C57C
疋	758B	A5D4
疏	758F	B2A8
疑	7591	BAC3
疙	7599	AAB8
疚	759A	AAB9
疝	759D	AAB7
疢	75A2	ACCF
疣	75A3	ACD0
疤	75A4	ACCD
疥	75A5	ACCE
疫	75AB	ACCC
疲	75B2	AF68
疳	75B3	AF69
疵	75B5	B2AB
疸	75B8	AF6E
疹	75B9	AF6C
疼	75BC	AF6B
疽	75BD	AF6A
疾	75BE	AF65
痂	75C2	AF6D
病	75C5	AF66
症	75C7	AF67
痊	75CA	B2AC
痍	75CD	B2AD
痔	75D4	B2A9
痕	75D5	B2AA
痘	75D8	B56B
痙	75D9	B56A
痛	75DB	B568
痞	75DE	B56C
痠	75E0	B56D
痢	75E2	B567
痣	75E3	B569
痰	75F0	B7F0
痱	75F1	B7F3
痲	75F2	B7F2
痳	75F3	B7F7
痴	75F4	B7F6
痺	75FA	B7F4
痿	75FF	B7F5
瘀	7600	B7EF
瘁	7601	B7F1
瘉	7609	BAC7
瘋	760B	BAC6
瘍	760D	BAC5
瘓	7613	BAC8
瘟	761F	BD45
瘠	7620	BD43
瘡	7621	BD48
瘢	7622	BD49
瘤	7624	BD46
瘦	7626	BD47
瘧	7627	BAC4
瘩	7629	BD44
瘴	7634	BF60
瘸	7638	BF61
瘺	763A	BF62
療	7642	C0F8
癆	7646	C0F7
癌	764C	C0F9
癒	7652	C2A1
癖	7656	C27D
癘	7658	C27E
癟	765F	C3A7
癡	7661	C3A8
癢	7662	C46F
癥	7665	C470
癩	7669	C4EE
癬	766C	C57E
癮	766E	C57D
癱	7671	C5F5
癲	7672	C5F6
癸	7678	ACD1
登	767B	B56E
發	767C	B56F
白	767D	A5D5
百	767E	A6CA
皂	7682	A86D
的	7684	AABA
皆	7686	ACD2
皇	7687	ACD3
皈	7688	ACD4
皋	768B	AF6F
皎	768E	B2AE
皓	7693	B571
皖	7696	B570
皚	769A	BD4A
皮	76AE	A5D6
皰	76B0	AF70
皴	76B4	B572
皺	76BA	BD4B
皿	76BF	A5D7
盂	76C2	AABB
盃	76C3	ACD7
盅	76C5	ACD8
盆	76C6	ACD6
盈	76C8	ACD5
益	76CA	AF71
盍	76CD	AF72
盎	76CE	AF73
盒	76D2	B2B0
盔	76D4	B2AF
盛	76DB	B2B1
盜	76DC	B573
盞	76DE	B7F8
盟	76DF	B7F9
盡	76E1	BAC9
監	76E3	BACA
盤	76E4	BD4C
盥	76E5	BF64
盧	76E7	BF63
盪	76EA	C0FA
目	76EE	A5D8
盯	76EF	A86E
盲	76F2	AABC
直	76F4	AABD
相	76F8	ACDB
盹	76F9	ACDA
盼	76FC	ACDF
盾	76FE	ACDE
省	7701	ACD9
眇	7707	ACE0
眉	7709	ACDC
看	770B	ACDD
真	771F	AF75
眠	7720	AF76
眨	7728	AF77
眩	7729	AF74
眶	7736	B2B5
眷	7737	B2B2
眸	7738	B2B6
眺	773A	B2B7
眼	773C	B2B4
眾	773E	B2B3
睏	774F	B574
睛	775B	B7FA
睜	775C	B843
睞	775E	B7FD
睡	7761	BACE
睢	7762	B846
督	7763	B7FE
睥	7765	B844
睦	7766	B7FC
睨	7768	B845
睪	776A	B841
睫	776B	B7FB
睬	776C	B842
睹	7779	B840
睽	777D	BACC
睿	777F	BACD
瞄	7784	BACB
瞇	7787	BD4E
瞋	778B	BD51
瞌	778C	BD4F
瞎	778E	BD4D
瞑	7791	BD50
瞞	779E	BF66
瞟	779F	BF67
瞠	77A0	BF65
瞥	77A5	BF68
瞧	77A7	C140
瞪	77AA	C0FC
瞬	77AC	C0FE
瞭	77AD	C141
瞰	77B0	C0FD
瞳	77B3	C0FB
瞻	77BB	C2A4
瞼	77BC	C2A5
瞽	77BD	C2A2
瞿	77BF	C2A3
矇	77C7	C3A9
矓	77D3	C4EF
矗	77D7	C5F7
矚	77DA	C666
矛	77DB	A5D9
矜	77DC	ACE1
矢	77E2	A5DA
矣	77E3	A86F
知	77E5	AABE
矩	77E9	AF78
短	77ED	B575
矮	77EE	B847
矯	77EF	C142
石	77F3	A5DB
矽	77FD	AABF
砂	7802	ACE2
砌	780C	ACE4
砍	780D	ACE5
研	7814	ACE3
砝	781D	AF7C
砟	781F	AFA4
砠	7820	AFA3
砥	7825	AFA1
砧	7827	AF7A
砭	782D	AFA2
砰	7830	AF79
砲	7832	AFA5
破	7834	AF7D
砷	7837	AF7E
砸	7838	AF7B
硃	7843	B2B9
硎	784E	B2BA
硝	785D	B576
硫	786B	B2B8
硬	786C	B577
硯	786F	B578
硼	787C	B84E
硿	787F	B851
碉	7889	B84D
碌	788C	B84C
碎	788E	B848
碑	7891	B84F
碓	7893	B850
碗	7897	B84A
碘	7898	B84B
碟	789F	BAD0
碣	78A3	BAD4
碧	78A7	BAD1
碩	78A9	BAD3
碰	78B0	B849
碳	78B3	BAD2
確	78BA	BD54
碼	78BC	BD58
碾	78BE	BD56
磁	78C1	BACF
磅	78C5	BD53
磊	78CA	BD55
磋	78CB	BD52
磐	78D0	BD59
磕	78D5	BD57
磚	78DA	BF6A
磧	78E7	BF6C
磨	78E8	BF69
磬	78EC	BF6B
磯	78EF	C146
磴	78F4	C145
磷	78F7	C143
磺	78FA	C144
礁	7901	C147
礎	790E	C2A6
礙	7919	C3AA
礦	7926	C471
礪	792A	C472
礫	792B	C474
礬	792C	C473
示	793A	A5DC
社	793E	AAC0
祀	7940	AAC1
祁	7941	AAC2
祆	7946	ACE6
祇	7947	ACE9
祈	7948	ACE8
祉	7949	ACE7
祐	7950	AFA7
祕	7955	AFA6
祖	7956	AFAA
祗	7957	AFAD
祚	795A	AFAE
祝	795D	AFAC
神	795E	AFAB
祟	795F	AFA9
祠	7960	AFA8
祥	7965	B2BB
票	7968	B2BC
祭	796D	B2BD
祺	797A	B852
祿	797F	B853
禁	7981	B854
禍	798D	BAD7
禎	798E	BAD5
福	798F	BAD6
禦	79A6	BF6D
禧	79A7	C148
禪	79AA	C149
禮	79AE	C2A7
禱	79B1	C3AB
禳	79B3	C5A1
禹	79B9	ACEA
禺	79BA	ACEB
禽	79BD	B856
禾	79BE	A5DD
禿	79BF	A872
秀	79C0	A871
私	79C1	A870
秈	79C8	AAC4
秉	79C9	AAC3
秋	79CB	ACEE
科	79D1	ACEC
秒	79D2	ACED
秘	79D8	AFB5
租	79DF	AFB2
秣	79E3	AFB0
秤	79E4	AFAF
秦	79E6	AFB3
秧	79E7	AFB1
秩	79E9	AFB4
移	79FB	B2BE
稀	7A00	B57D
稅	7A05	B57C
稈	7A08	B57A
程	7A0B	B57B
稍	7A0D	B579
稔	7A14	B85A
稚	7A1A	B858
稜	7A1C	B857
稞	7A1E	B85C
稟	7A1F	B85B
稠	7A20	B859
種	7A2E	BAD8
稱	7A31	BAD9
稷	7A37	BD5E
稻	7A3B	BD5F
稼	7A3C	BD5B
稽	7A3D	BD5D
稿	7A3F	BD5A
穀	7A40	BD5C
穆	7A46	BF70
穋	7A4B	BF72
穌	7A4C	BF71
積	7A4D	BF6E
穎	7A4E	BF6F
穗	7A57	C14A
穠	7A60	C2AA
穡	7A61	C2A8
穢	7A62	C2A9
穩	7A69	C3AD
穫	7A6B	C3AC
穴	7A74	A5DE
究	7A76	A873
穹	7A79	AAC6
空	7A7A	AAC5
穿	7A7F	ACEF
突	7A81	ACF0
窄	7A84	AFB6
窈	7A88	AFB7
窒	7A92	B2BF
窕	7A95	B2C0
窖	7A96	B5A2
窗	7A97	B5A1
窘	7A98	B57E
窟	7A9F	B85D
窠	7AA0	B85E
窩	7AA9	BADB
窪	7AAA	BADA
窮	7AAE	BD61
窯	7AAF	BD60
窺	7ABA	BF73
窿	7ABF	C14B
竄	7AC4	C2AB
竅	7AC5	C2AC
竇	7AC7	C475
竊	7ACA	C5D1
立	7ACB	A5DF
站	7AD9	AFB8
竟	7ADF	B3BA
章	7AE0	B3B9
竣	7AE3	B5A4
童	7AE5	B5A3
竭	7AED	BADC
端	7AEF	BADD
競	7AF6	C476
竹	7AF9	A6CB
竺	7AFA	AAC7
竽	7AFD	ACF2
竿	7AFF	ACF1
笆	7B06	AFB9
笑	7B11	AFBA
笙	7B19	B2C6
笛	7B1B	B2C3
笞	7B1E	B2C7
笠	7B20	B2C1
符	7B26	B2C5
笨	7B28	B2C2
第	7B2C	B2C4
笮	7B2E	B2C8
筆	7B46	B5A7
等	7B49	B5A5
筋	7B4B	B5AC
筍	7B4D	B5AB
筏	7B4F	B5AD
筐	7B50	B5A8
筑	7B51	B5AE
筒	7B52	B5A9
答	7B54	B5AA
策	7B56	B5A6
筠	7B60	B861
筧	7B67	B863
筮	7B6E	B862
筵	7B75	BAE1
筷	7B77	B85F
箄	7B84	BAE8
箇	7B87	BAE7
箋	7B8B	BAE0
箏	7B8F	BAE5
箔	7B94	BAE4
箕	7B95	BADF
算	7B97	BAE2
箝	7B9D	BAE3
箠	7BA0	BD69
管	7BA1	BADE
箭	7BAD	BD62
箱	7BB1	BD63
箴	7BB4	BD65
箸	7BB8	BAE6
節	7BC0	B860
篁	7BC1	BD68
範	7BC4	BD64
篆	7BC6	BD66
篇	7BC7	BD67
築	7BC9	BF76
篌	7BCC	BD6A
篙	7BD9	BF74
篛	7BDB	BF78
篠	7BE0	C151
篡	7BE1	BF79
篤	7BE4	BF77
篦	7BE6	BF7B
篩	7BE9	BF7A
篷	7BF7	C14F
篾	7BFE	C14E
簇	7C07	C14C
簌	7C0C	C150
簍	7C0D	C14D
簑	7C11	BF75
簞	7C1E	C2B0
簡	7C21	C2B2
簣	7C23	C2B1
簧	7C27	C2AE
簪	7C2A	C2AF
簫	7C2B	C2AD
簷	7C37	C3B2
簸	7C38	C3B0
簽	7C3D	C3B1
簾	7C3E	C3AE
簿	7C3F	C3AF
籀	7C40	C3B3
籃	7C43	C478
籌	7C4C	C477
籍	7C4D	C479
籐	7C50	C4F0
籟	7C5F	C5A3
籠	7C60	C5A2
籣	7C63	C5D3
籤	7C64	C5D2
籥	7C65	C5D4
籬	7C6C	C658
籮	7C6E	C659
籲	7C72	C67E
米	7C73	A6CC
籽	7C7D	ACF3
粉	7C89	AFBB
粒	7C92	B2C9
粕	7C95	B2CB
粗	7C97	B2CA
粟	7C9F	B5AF
粥	7CA5	B5B0
粱	7CB1	B864
粳	7CB3	B865
粵	7CB5	B866
粹	7CB9	BAE9
粽	7CBD	BAEA
精	7CBE	BAEB
糊	7CCA	BD6B
糕	7CD5	BF7C
糖	7CD6	BF7D
糙	7CD9	C157
糜	7CDC	C153
糝	7CDD	C158
糞	7CDE	C154
糟	7CDF	C156
糠	7CE0	C152
糢	7CE2	C155
糧	7CE7	C2B3
糯	7CEF	C47A
糰	7CF0	C47B
糸	7CF8	A6CD
系	7CFB	A874
糾	7CFE	AAC8
紀	7D00	ACF6
紂	7D02	ACF4
約	7D04	ACF9
紅	7D05	ACF5
紆	7D06	ACFA
紇	7D07	ACF8
紉	7D09	ACF7
紊	7D0A	AFBF
紋	7D0B	AFBE
納	7D0D	AFC7
紐	7D10	AFC3
純	7D14	AFC2
紕	7D15	AFC4
紗	7D17	AFBD
紙	7D19	AFC8
級	7D1A	AFC5
紛	7D1B	AFC9
紜	7D1C	AFC6
素	7D20	AFC0
紡	7D21	AFBC
索	7D22	AFC1
紫	7D2B	B5B5
紮	7D2E	B2CF
累	7D2F	B2D6
細	7D30	B2D3
紱	7D31	B2D9
紲	7D32	B2D8
紳	7D33	B2D4
紹	7D39	B2D0
紼	7D3C	B2D1
絀	7D40	B2D2
終	7D42	B2D7
絃	7D43	B2CD
組	7D44	B2D5
絆	7D46	B2CC
結	7D50	B5B2
絕	7D55	B5B4
絛	7D5B	B86C
絞	7D5E	B5B1
絡	7D61	B5B8
絢	7D62	B5BA
給	7D66	B5B9
絨	7D68	B5B3
絮	7D6E	B5B6
絰	7D70	B5BB
統	7D71	B2CE
絲	7D72	B5B7
絳	7D73	B5BC
絹	7D79	B868
綁	7D81	B86A
綏	7D8F	B86B
綑	7D91	B869
經	7D93	B867
綜	7D9C	BAEE
綞	7D9E	BD78
綠	7DA0	BAF1
綢	7DA2	BAF7
綬	7DAC	BAFE
維	7DAD	BAFB
綰	7DB0	BAED
綱	7DB1	BAF5
網	7DB2	BAF4
綴	7DB4	BAF3
綵	7DB5	BAF9
綸	7DB8	BAFA
綺	7DBA	BAF6
綻	7DBB	BAEC
綽	7DBD	BAEF
綾	7DBE	BAF0
綿	7DBF	BAF8
緇	7DC7	BAFD
緊	7DCA	BAF2
緒	7DD2	BAFC
緘	7DD8	BD70
緙	7DD9	BD79
線	7DDA	BD75
緝	7DDD	BD72
緞	7DDE	BD76
締	7DE0	BD6C
緣	7DE3	BD74
編	7DE8	BD73
緩	7DE9	BD77
緬	7DEC	BD71
緯	7DEF	BD6E
緲	7DF2	BD7A
練	7DF4	BD6D
緹	7DF9	BD7B
緻	7DFB	BD6F
縈	7E08	BFA2
縉	7E09	BFA7
縊	7E0A	BF7E
縐	7E10	BFA8
縑	7E11	BFA1
縛	7E1B	BFA3
縝	7E1D	BFA6
縞	7E1E	BFA5
縣	7E23	BFA4
縫	7E2B	C15F
縮	7E2E	C159
縯	7E2F	C169
縱	7E31	C161
縲	7E32	C15D
縴	7E34	C164
縵	7E35	C167
縷	7E37	C15C
縹	7E39	C165
總	7E3D	C160
績	7E3E	C15A
縿	7E3F	C168
繁	7E41	C163
繃	7E43	C15E
繅	7E45	C162
繆	7E46	C15B
繈	7E48	C166
繒	7E52	C2B9
織	7E54	C2B4
繕	7E55	C2B5
繙	7E59	C2BA
繚	7E5A	C2B7
繞	7E5E	C2B6
繡	7E61	C2B8
繩	7E69	C3B7
繪	7E6A	C3B8
繫	7E6B	C3B4
繭	7E6D	C3B5
繳	7E73	C3BA
繹	7E79	C3B6
繼	7E7C	C47E
繽	7E7D	C47D
纂	7E82	C4A1
續	7E8C	C4F2
纏	7E8F	C4F1
纓	7E93	C5D5
纔	7E94	C5D7
纖	7E96	C5D6
纜	7E9C	C66C
缶	7F36	A6CE
缸	7F38	ACFB
缺	7F3A	AFCA
缽	7F3D	B2DA
罄	7F44	C16A
罈	7F48	C2BB
罌	7F4C	C4A2
罐	7F50	C5F8
罔	7F54	AAC9
罕	7F55	A875
罟	7F5F	AFCB
罩	7F69	B86E
罪	7F6A	B86F
置	7F6E	B86D
罰	7F70	BB40
署	7F72	B870
罵	7F75	BD7C
罷	7F77	BD7D
罹	7F79	BFA9
羅	7F85	C3B9
羈	7F88	C5F9
羊	7F8A	A6CF
羋	7F8B	AACB
羌	7F8C	AACA
美	7F8E	ACFC
羔	7F94	AFCC
羚	7F9A	B2DC
羞	7F9E	B2DB
群	7FA4	B873
羨	7FA8	B872
義	7FA9	B871
羯	7FAF	BD7E
羲	7FB2	BFAA
羶	7FB6	C3BB
羸	7FB8	C3BD
羹	7FB9	C3BC
羼	7FBC	C4F3
羽	7FBD	A6D0
羿	7FBF	ACFD
翁	7FC1	AFCE
翅	7FC5	AFCD
翌	7FCC	B2DD
翎	7FCE	B2DE
習	7FD2	B2DF
翔	7FD4	B5BE
翕	7FD5	B5BF
翟	7FDF	BB43
翠	7FE0	BB41
翡	7FE1	BB42
翩	7FE9	BDA1
翮	7FEE	BFAD
翰	7FF0	BFAB
翱	7FF1	BFAC
翳	7FF3	C16B
翹	7FF9	C2BC
翻	7FFB	C2BD
翼	7FFC	C16C
耀	8000	C4A3
老	8001	A6D1
考	8003	A6D2
耄	8004	ACFE
者	8005	AACC
耆	8006	AFCF
耋	800B	B5C0
而	800C	A6D3
耍	800D	AD41
耐	8010	AD40
耑	8011	AD42
耒	8012	A6D4
耕	8015	AFD1
耗	8017	AFD3
耘	8018	AFD0
耙	8019	AFD2
耜	801C	B2E0
耦	8026	BDA2
耨	8028	BFAE
耳	8033	A6D5
耶	8036	AD43
耽	803D	AFD4
耿	803F	AFD5
聆	8046	B2E2
聊	804A	B2E1
聒	8052	B5C1
聖	8056	B874
聘	8058	B875
聚	805A	BB45
聞	805E	BB44
聯	806F	C170
聰	8070	C16F
聱	8071	C16D
聲	8072	C16E
聳	8073	C171
聶	8076	C2BF
職	8077	C2BE
聽	807D	C5A5
聾	807E	C5A4
聿	807F	A6D6
肄	8084	B877
肅	8085	B5C2
肆	8086	B876
肇	8087	BB46
肉	8089	A6D7
肋	808B	A6D8
肌	808C	A6D9
肓	8093	A877
肖	8096	A876
肘	8098	A879
肚	809A	A87B
肛	809B	A87A
肝	809D	A878
股	80A1	AAD1
肢	80A2	AACF
肥	80A5	AACE
肩	80A9	AAD3
肪	80AA	AAD5
肫	80AB	AAD2
肯	80AF	AAD6
肱	80B1	AAD0
育	80B2	A87C
肴	80B4	AAD4
肺	80BA	AACD
胃	80C3	AD47
胄	80C4	AD48
背	80CC	AD49
胎	80CE	AD4C
胖	80D6	AD44
胚	80DA	AD46
胛	80DB	AD4B
胝	80DD	AD4F
胞	80DE	AD4D
胡	80E1	AD4A
胤	80E4	AD4E
胥	80E5	AD45
胭	80ED	AFDA
胯	80EF	AFE3
胰	80F0	AFD8
胱	80F1	AFD6
胳	80F3	AFDE
胴	80F4	AFDB
胸	80F8	AFDD
胼	80FC	AFE2
能	80FD	AFE0
脂	8102	AFD7
脅	8105	AFD9
脆	8106	AFDC
脈	8108	AFDF
脊	810A	AFE1
脖	8116	B2E4
脣	8123	B2E5
脤	8124	B2E9
脩	8129	B2E7
脫	812B	B2E6
脯	812F	B2E3
脰	8130	B2E8
脹	8139	B5C8
脾	813E	B5CA
腆	8146	B5C9
腋	814B	B5C5
腌	814C	B5CB
腎	814E	B5C7
腐	8150	BB47
腑	8151	B5C6
腓	8153	B5CC
腔	8154	B5C4
腕	8155	B5C3
腥	8165	B87B
腦	8166	B8A3
腫	816B	B87E
腮	816E	B87C
腰	8170	B879
腱	8171	B878
腳	8173	B87D
腴	8174	B5CD
腸	8178	B87A
腹	8179	B8A1
腺	817A	B8A2
腿	817F	BB4C
膀	8180	BB48
膂	8182	BB4D
膈	8188	BB4A
膊	818A	BB4B
膏	818F	BB49
